none_T100,green_T100,red_T100,blue_T100,green_LD,red_LD,blue_LD
18,31,24,27,0,1,8
18,31,25,26,1,0,9
18,31,24,27,2,1,0
18,31,24,27,3,2,0
19,31,23,27,4,3,1
19,30,24,27,5,0,2
19,29,24,28,6,1,0
19,30,23,28,0,2,1
19,30,24,27,1,0,2
19,30,25,26,2,0,3
19,29,26,26,3,0,4
19,29,26,26,0,1,5
18,29,26,27,1,2,0
18,28,27,27,2,0,1
19,28,27,26,3,1,2
19,29,27,25,0,2,3
19,29,27,25,1,3,0
19,29,28,24,2,0,1
18,29,29,24,3,0,2
17,29,30,24,4,0,3
17,29,30,24,5,1,0
17,29,30,24,6,0,1
17,28,31,24,7,0,2
17,28,30,25,8,1,0
18,28,30,24,9,2,1
18,29,29,24,0,3,2
18,28,30,24,1,0,3
18,27,31,24,2,0,4
18,27,32,23,3,0,5
18,27,33,22,4,0,6
18,27,33,22,5,1,0
18,27,32,23,6,2,0
18,27,31,24,7,3,0
18,27,30,25,8,4,0
18,27,29,26,9,5,0
18,27,29,26,0,6,1
18,27,29,26,1,0,2
18,27,29,26,2,1,3
19,27,28,26,3,2,4
19,27,29,25,4,0,5
20,27,28,25,5,1,6
20,26,28,26,6,2,0
20,26,28,26,0,3,1
20,26,27,27,1,4,0
20,26,27,27,2,5,0
19,26,27,28,3,6,0
20,26,27,27,4,7,1
21,26,27,26,5,8,2
21,26,26,27,6,9,0
21,25,27,27,7,0,1
21,25,27,27,0,1,2
21,25,28,26,1,0,3
21,26,28,25,0,1,4
20,26,28,26,1,2,0
20,27,27,26,0,3,1
19,27,28,26,1,0,2
20,26,28,26,2,1,3
21,26,27,26,3,2,4
21,25,27,27,4,3,0
21,25,26,28,5,4,0
20,25,27,28,6,0,1
19,25,27,29,7,1,0
19,26,26,29,0,2,1
19,26,27,28,1,0,2
20,25,27,28,2,1,3
21,24,27,28,3,2,4
21,23,28,28,4,0,5
21,23,28,28,0,1,6
21,23,28,28,1,2,7
20,23,29,28,2,0,8
21,23,29,27,3,1,9
21,23,28,28,4,2,0
21,23,28,28,0,3,1
21,24,28,27,0,4,2
22,24,28,26,1,5,3
22,24,28,26,2,6,4
22,24,28,26,3,7,5
22,23,28,27,4,8,0
23,23,28,26,5,9,1
23,23,27,27,6,10,0
23,23,27,27,7,11,1
23,24,27,26,0,12,2
23,23,28,26,1,0,3
23,22,29,26,2,0,4
22,22,30,26,3,0,5
22,22,29,27,4,1,0
23,21,29,27,5,2,1
24,20,29,27,6,3,2
23,20,30,27,7,0,3
23,19,31,27,8,0,4
23,19,32,26,9,0,5
23,18,32,27,10,1,0
23,18,33,26,11,0,1
23,17,33,27,12,1,0
23,18,32,27,0,2,1
23,17,33,27,1,0,2
24,16,33,27,2,1,3
23,16,34,27,3,0,4
22,16,35,27,4,0,5
23,16,34,27,5,1,6
24,15,34,27,6,2,7
24,15,34,27,7,0,8
24,15,34,27,8,1,0
25,15,34,26,9,2,1
24,16,34,26,0,3,2
24,17,33,26,0,4,3
24,17,33,26,1,5,0
24,16,33,27,2,6,0
24,16,32,28,3,7,0
24,16,32,28,4,0,1
24,17,31,28,0,1,2
25,16,31,28,1,2,3
26,16,31,27,2,3,4
26,16,30,28,3,4,0
25,17,30,28,0,5,1
25,16,31,28,1,0,2
25,17,31,27,0,1,3
25,17,31,27,1,0,4
25,17,31,27,2,0,5
25,17,31,27,3,0,6
25,17,32,26,4,0,7
25,17,32,26,5,0,8
25,17,31,27,6,1,0
25,17,31,27,7,2,0
24,17,31,28,8,3,0
24,16,31,29,9,4,0
24,17,30,29,0,5,1
24,17,29,30,1,6,0
24,17,28,31,2,7,0
24,17,27,32,3,8,0
24,18,27,31,0,9,1
24,18,27,31,1,10,0
24,18,28,30,2,0,1
24,19,28,29,0,1,2
25,19,28,28,1,2,3
26,18,28,28,2,3,4
27,18,27,28,3,4,5
26,19,27,28,0,5,6
26,19,27,28,1,6,7
27,19,26,28,2,7,8
26,19,26,29,3,8,0
26,20,26,28,0,9,1
27,19,26,28,1,10,2
27,19,27,27,2,0,3
27,20,27,26,0,1,4
27,21,27,25,0,2,5
26,22,27,25,0,3,6
25,23,27,25,0,4,7
25,24,27,24,0,5,8
25,24,27,24,1,0,9
25,24,27,24,0,1,10
25,24,27,24,1,0,11
26,23,27,24,2,1,12
26,23,27,24,3,2,0
26,23,27,24,0,3,1
26,23,26,25,1,4,0
25,24,26,25,0,5,1
25,24,26,25,1,6,2
25,25,26,24,0,7,3
26,25,26,23,1,8,4
26,25,25,24,2,9,0
27,25,25,23,3,10,1
27,24,25,24,4,11,0
27,25,24,24,0,12,1
27,25,24,24,1,13,2
26,25,24,25,2,14,0
27,25,23,25,3,15,1
28,24,23,25,4,16,2
28,24,23,25,5,17,3
28,24,22,26,6,18,0
27,25,22,26,0,19,1
27,26,22,25,0,20,2
27,26,22,25,0,21,3
27,25,22,26,1,22,0
26,26,22,26,0,23,1
25,26,22,27,1,24,0
24,27,22,27,0,25,1
24,27,22,27,1,26,0
23,27,22,28,2,27,0
23,28,22,27,0,28,1
22,29,22,27,0,29,2
22,28,22,28,1,30,0
22,28,21,29,2,31,0
23,28,20,29,3,32,1
23,29,19,29,0,33,2
24,29,19,28,1,34,3
23,29,20,28,2,0,4
22,29,20,29,3,1,0
22,29,19,30,4,2,0
22,29,18,31,5,3,0
23,29,17,31,6,4,1
23,29,18,30,7,0,2
23,29,18,30,8,0,3
23,29,18,30,9,1,0
23,29,18,30,0,2,1
24,29,17,30,1,3,2
23,29,18,30,2,0,3
24,29,17,30,3,1,4
24,29,16,31,4,2,0
23,29,17,31,5,0,1
22,30,17,31,0,1,2
22,30,16,32,1,2,0
23,30,16,31,2,3,1
22,30,16,32,3,4,0
22,29,17,32,4,0,1
23,28,17,32,5,1,2
23,28,17,32,6,2,0
23,28,17,32,7,3,0
24,28,17,31,8,4,1
24,28,17,31,9,0,2
24,27,18,31,10,0,3
23,28,18,31,0,1,4
22,29,18,31,0,2,5
22,29,18,31,1,3,0
23,28,18,31,2,4,1
23,28,18,31,3,0,2
23,27,18,32,4,1,0
23,27,17,33,5,2,0
23,28,16,33,0,3,1
24,28,15,33,1,4,2
25,28,14,33,2,5,3
25,28,14,33,3,0,4
25,28,15,32,4,0,5
25,28,16,31,5,0,6
25,28,17,30,6,0,7
25,28,18,29,7,0,8
25,28,18,29,0,1,9
25,28,18,29,1,2,0
25,28,18,29,2,3,0
25,28,18,29,3,4,0
25,27,18,30,4,5,0
26,27,18,29,5,6,1
26,27,17,30,6,7,0
26,26,18,30,7,0,1
25,27,18,30,0,1,2
24,28,18,30,0,2,3
24,28,18,30,1,3,4
24,27,18,31,2,4,0
23,27,18,32,3,5,0
22,28,18,32,0,6,1
22,28,19,31,1,0,2
22,27,20,31,2,0,3
21,27,21,31,3,0,4
21,27,21,31,4,0,5
21,27,21,31,0,1,6
21,27,21,31,0,2,7
21,26,22,31,1,0,8
21,25,22,32,2,1,0
22,24,22,32,3,2,1
22,24,22,32,4,0,2
22,23,22,33,5,1,0
22,23,22,33,6,0,1
21,23,22,34,7,1,0
21,23,22,34,8,2,0
21,22,22,35,9,3,0
22,22,22,34,10,4,1
23,21,22,34,11,5,2
22,21,23,34,12,0,3
22,20,24,34,13,0,4
21,21,24,34,0,1,5
21,21,25,33,1,0,6
20,21,25,34,2,1,0
20,21,25,34,3,2,0
20,21,25,34,0,3,1
19,21,26,34,1,0,2
19,22,26,33,0,1,3
18,23,26,33,0,2,4
18,23,26,33,1,3,5
18,23,26,33,2,4,6
18,23,27,32,3,0,7
18,22,27,33,4,1,0
18,21,28,33,5,0,1
18,21,28,33,0,1,2
18,21,28,33,1,2,0
18,21,28,33,0,3,1
19,21,28,32,1,4,2
19,20,28,33,2,5,0
