combination,balance
22101,"(7679, 318, -2945000, (2, 2, 1, 0, 1))"
01212,"(7677, 341, -5945000, (0, 1, 2, 1, 2))"
02121,"(7676, 330, -4520000, (0, 2, 1, 2, 1))"
21210,"(7670, 331, -4680000, (2, 1, 2, 1, 0))"
11022,"(7667, 325, -3915000, (1, 1, 0, 2, 2))"
22011,"(7667, 319, -3135000, (2, 2, 0, 1, 1))"
21120,"(7662, 348, -6930000, (2, 1, 1, 2, 0))"
10122,"(7650, 343, -6340000, (1, 0, 1, 2, 2))"
11202,"(7648, 359, -8430000, (1, 1, 2, 0, 2))"
12201,"(7638, 363, -9000000, (1, 2, 2, 0, 1))"
01300,"(7624, 330, -4780000, (0, 1, 3, 0, 0))"
00013,"(7623, 335, -5435000, (0, 0, 0, 1, 3))"
13000,"(7609, 350, -7455000, (1, 3, 0, 0, 0))"
00310,"(7607, 330, -4865000, (0, 0, 3, 1, 0))"
00130,"(7606, 343, -6560000, (0, 0, 1, 3, 0))"
00031,"(7606, 334, -5390000, (0, 0, 0, 3, 1))"
01221,"(7605, 330, -4875000, (0, 1, 2, 2, 1))"
00301,"(7603, 328, -4625000, (0, 0, 3, 0, 1))"
01122,"(7601, 335, -5545000, (0, 1, 1, 2, 2))"
12210,"(7595, 344, -6745000, (1, 2, 2, 1, 0))"
31000,"(7594, 343, -6620000, (3, 1, 0, 0, 0))"
10030,"(7594, 318, -3370000, (1, 0, 0, 3, 0))"
11220,"(7593, 347, -7145000, (1, 1, 2, 2, 0))"
03100,"(7591, 355, -8195000, (0, 3, 1, 0, 0))"
00103,"(7591, 328, -4685000, (0, 0, 1, 0, 3))"
10300,"(7588, 330, -4960000, (1, 0, 3, 0, 0))"
30100,"(7585, 342, -6535000, (3, 0, 1, 0, 0))"
01003,"(7585, 322, -3935000, (0, 1, 0, 0, 3))"
30010,"(7581, 345, -6945000, (3, 0, 0, 1, 0))"
02211,"(7580, 332, -5260000, (0, 2, 2, 1, 1))"
01030,"(7579, 338, -6045000, (0, 1, 0, 3, 0))"
10003,"(7566, 329, -4940000, (1, 0, 0, 0, 3))"
03001,"(7565, 363, -9365000, (0, 3, 0, 0, 1))"
03010,"(7561, 371, -10425000, (0, 3, 0, 1, 0))"
22110,"(7558, 351, -7840000, (2, 2, 1, 1, 0))"
21112,"(7549, 334, -5675000, (2, 1, 1, 1, 2))"
30001,"(7542, 343, -6880000, (3, 0, 0, 0, 1))"
12121,"(7535, 316, -3405000, (1, 2, 1, 2, 1))"
12112,"(7527, 325, -4615000, (1, 2, 1, 1, 2))"
21121,"(7512, 347, -7550000, (2, 1, 1, 2, 1))"
21211,"(7508, 296, -940000, (2, 1, 2, 1, 1))"
11212,"(7483, 340, -6785000, (1, 1, 2, 1, 2))"
10031,"(7483, 318, -3925000, (1, 0, 0, 3, 1))"
13001,"(7482, 333, -5880000, (1, 3, 0, 0, 1))"
31010,"(7452, 312, -3300000, (3, 1, 0, 1, 0))"
13100,"(7450, 340, -6950000, (1, 3, 1, 0, 0))"
01301,"(7450, 325, -5000000, (0, 1, 3, 0, 1))"
01310,"(7441, 336, -6475000, (0, 1, 3, 1, 0))"
10310,"(7441, 327, -5305000, (1, 0, 3, 1, 0))"
10301,"(7439, 337, -6615000, (1, 0, 3, 0, 1))"
11221,"(7439, 312, -3365000, (1, 1, 2, 2, 1))"
12211,"(7433, 319, -4305000, (1, 2, 2, 1, 1))"
13010,"(7432, 347, -7950000, (1, 3, 0, 1, 0))"
03101,"(7430, 338, -6790000, (0, 3, 1, 0, 1))"
00131,"(7428, 351, -8490000, (0, 0, 1, 3, 1))"
00113,"(7428, 323, -4850000, (0, 0, 1, 1, 3))"
01013,"(7427, 330, -5765000, (0, 1, 0, 1, 3))"
10130,"(7426, 328, -5510000, (1, 0, 1, 3, 0))"
01031,"(7423, 346, -7865000, (0, 1, 0, 3, 1))"
11122,"(7417, 322, -4775000, (1, 1, 1, 2, 2))"
31100,"(7415, 319, -4395000, (3, 1, 1, 0, 0))"
10013,"(7410, 338, -6890000, (1, 0, 0, 1, 3))"
11300,"(7404, 340, -7180000, (1, 1, 3, 0, 0))"
00311,"(7403, 337, -6795000, (0, 0, 3, 1, 1))"
31001,"(7398, 334, -6430000, (3, 1, 0, 0, 1))"
01130,"(7397, 348, -8255000, (0, 1, 1, 3, 0))"
30110,"(7394, 328, -5670000, (3, 0, 1, 1, 0))"
22111,"(7387, 327, -5575000, (2, 2, 1, 1, 1))"
03110,"(7386, 354, -9090000, (0, 3, 1, 1, 0))"
10103,"(7382, 333, -6380000, (1, 0, 1, 0, 3))"
30101,"(7378, 331, -6140000, (3, 0, 1, 0, 1))"
